------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  4] local 10.0.0.2 port 5001 connected with 10.0.0.5 port 50769
[ ID] Interval       Transfer     Bandwidth
[  4] 44.5-45.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 45.0-45.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 45.5-46.0 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 46.0-46.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 46.5-47.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 47.0-47.5 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 47.5-48.0 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 48.0-48.5 sec  82.0 KBytes  1.34 Mbits/sec
[  4] 48.5-49.0 sec  84.8 KBytes  1.39 Mbits/sec
[  4] 49.0-49.5 sec  14.1 KBytes   232 Kbits/sec
[  4] 49.5-50.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 50.0-50.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 50.5-51.0 sec  2.83 KBytes  46.3 Kbits/sec
[  4] 51.0-51.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 51.5-52.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 52.0-52.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 52.5-53.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 53.0-53.5 sec  4.24 KBytes  69.5 Kbits/sec
[  4] 53.5-54.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 54.0-54.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 54.5-55.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 55.0-55.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 55.5-56.0 sec  1.19 MBytes  19.9 Mbits/sec
[  4] 56.0-56.5 sec   806 KBytes  13.2 Mbits/sec
[  4] 56.5-57.0 sec   354 KBytes  5.79 Mbits/sec
[  4] 57.0-57.5 sec   129 KBytes  2.11 Mbits/sec
[  4] 57.5-58.0 sec   267 KBytes  4.38 Mbits/sec
